Host,Solution,Risk,Port,Name,Plugin Output,Category
10.204.224.17,"Replace the certificate in the chain with the RSA key less than 2048
bits in length with a longer key, and reissue any certificates signed
by the old certificate.",Low,6200,ssl certificate chain contains rsa keys less than 2048 bits,"
The following certificates were part of the certificate chain
sent by the remote host, but contain RSA keys that are considered
to be weak :

|-Subject        : C=US/ST=OR/L=Portland/O=ORACLE DEMO CERTIFICATE/OU=NOT FOR COMMERCIAL USE/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
|-RSA Key Length : 1024 bits
",ssl related vulnerability
10.204.224.17,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,6200,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.17,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=NG/ST=Lagos/L=VI/O=Current-link/OU=IT Department/CN=ROOT CA
|-Issuer  : C=NG/ST=Lagos/L=VI/O=Current-link/OU=IT Department/CN=ROOT CA
",ssl related vulnerability
10.204.224.17,"Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.",High,6200,ssl version 2 and 3 protocol detection,"
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP-DES-CBC-SHA                                RSA(512)      RSA      DES-CBC(40)            SHA1      export
    EXP-RC4-MD5                                    RSA(512)      RSA      RC4(40)                MD5       export
    DES-CBC-SHA                                    RSA           RSA      DES-CBC(56)            SHA1

  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.17,"Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.",Medium,6200,ssl rc4 cipher suites supported (bar mitzvah),"
List of RC4 cipher suites supported by the remote server :

  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP-RC4-MD5                   0x00, 0x03       RSA(512)      RSA      RC4(40)                MD5       export

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.17,Purchase or generate a proper SSL certificate for this service.,Medium,6200,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.17
  169.254.115.180
  169.254.155.83
  169.254.179.47
  pms01936dg
  pms01936dg.ibomgolfresort.com

The Common Name in the certificate is :

  GET A REAL CERTIFICATE!!!
",ssl related vulnerability
10.204.224.17,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.17
  169.254.115.180
  169.254.155.83
  169.254.179.47
  pms01936dg
  pms01936dg.ibomgolfresort.com

The Common Name in the certificate is :

  PMS01936A
",ssl related vulnerability
10.204.224.17,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=NG/ST=Lagos/L=VI/O=Current-link/OU=IT Department/CN=ROOT CA
",ssl related vulnerability
10.204.224.17,Purchase or generate a proper SSL certificate for this service.,Medium,6200,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=US/ST=OR/L=Portland/O=ORACLE DEMO CA/OU=DO NOT USE COMMERCIALLY/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
|-Issuer  : C=US/ST=OR/L=Portland/O=ORACLE DEMO CA/OU=DO NOT USE COMMERCIALLY/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
",ssl related vulnerability
10.204.224.18,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=DCE01936A.ibomgolfresort.com
|-Issuer  : CN=DCE01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.18,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=DCE01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.19,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,3389,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=OA01936A.ibomgolfresort.com
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : May 12 12:00:55 2021 GMT
|-Valid To            : Nov 11 12:00:55 2021 GMT
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,1063,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=SafeQ Server/OU=R&D/O=Y Soft/L=Brno/C=cz
",ssl related vulnerability
10.204.224.19,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,5022,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,5022,ssl certificate cannot be trusted,"
The following certificate was part of the certificate chain
sent by the remote host, but it has expired :

|-Subject   : CN=SafeQ DS Web Server
|-Not After : Mar 11 16:19:58 2021 GMT

The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=SafeQ DS Web Server
|-Issuer  : CN=Y Soft SafeQDS CA/C=CZ/ST=Czech/L=Brno/O=Y Soft Corporation, a.s./OU=R&D/E=pavel.holec@ysoft.com
",ssl related vulnerability
10.204.224.19,"Purchase or generate a new SSL certificate to replace the existing
one.",Medium,5022,ssl certificate expiry,"
The SSL certificate has already expired :

  Subject          : CN=SafeQ DS Web Server
  Issuer           : CN=Y Soft SafeQDS CA, C=CZ, ST=Czech, L=Brno, O=Y Soft Corporation, a.s., OU=R&D, emailAddress=pavel.holec@ysoft.com
  Not valid before : Mar 14 16:19:58 2011 GMT
  Not valid after  : Mar 11 16:19:58 2021 GMT
",ssl related vulnerability
10.204.224.19,"Reconfigure the affected application, if possible, to avoid use of RC4
ciphers. Consider using TLS 1.2 with AES-GCM suites subject to browser
and web server support.",Medium,1063,ssl rc4 cipher suites supported (bar mitzvah),"
List of RC4 cipher suites supported by the remote server :

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    ECDHE-RSA-RC4-SHA             0xC0, 0x11       ECDH          RSA      RC4(128)               SHA1
    RC4-MD5                       0x00, 0x04       RSA           RSA      RC4(128)               MD5
    RC4-SHA                       0x00, 0x05       RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.19,"Replace the certificate in the chain with the RSA key less than 2048
bits in length with a longer key, and reissue any certificates signed
by the old certificate.",Low,5022,ssl certificate chain contains rsa keys less than 2048 bits,"
The following certificates were part of the certificate chain
sent by the remote host, but contain RSA keys that are considered
to be weak :

|-Subject        : CN=SafeQ DS Web Server
|-RSA Key Length : 1024 bits
",ssl related vulnerability
10.204.224.19,"Disable SSLv3.

Services that must support SSLv3 should enable the TLS Fallback SCSV
mechanism until SSLv3 can be disabled.",Medium,1063,sslv3 padding oracle on downgraded legacy encryption vulnerability (poodle),"
Nessus determined that the remote server supports SSLv3 with at least one CBC 
cipher suite, indicating that this server is vulnerable.

It appears that TLSv1 or newer is supported on the server. However, the 
Fallback SCSV mechanism is not supported, allowing connections to be ""rolled 
back"" to SSLv3.
",ssl related vulnerability
10.204.224.19,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,443,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : C=CZ/L=Brno/O=Y Soft/OU=RnD/CN=SafeQ
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Nov 20 21:50:09 2013 GMT
|-Valid To            : Nov 18 21:50:10 2023 GMT
",ssl related vulnerability
10.204.224.19,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,5022,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=SafeQ DS Web Server
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Mar 14 16:19:58 2011 GMT
|-Valid To            : Mar 11 16:19:58 2021 GMT
",ssl related vulnerability
10.204.224.19,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,1063,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.19,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,1063,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=SafeQ Server/OU=R&D/O=Y Soft/L=Brno/C=cz
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Jul 19 13:44:39 2010 GMT
|-Valid To            : Dec 31 22:59:14 2099 GMT
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,1063,ssl certificate cannot be trusted,"
The following certificate was part of the certificate chain
sent by the remote host, but it has an invalid signature :

|-Subject : CN=SafeQ Server/OU=R&D/O=Y Soft/L=Brno/C=cz
|-Hash    : 

The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=SafeQ Server/OU=R&D/O=Y Soft/L=Brno/C=cz
|-Issuer  : CN=SafeQ Server/OU=R&D/O=Y Soft/L=Brno/C=cz
",ssl related vulnerability
10.204.224.19,"Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.",High,1063,ssl version 2 and 3 protocol detection,"
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EDH-RSA-DES-CBC3-SHA                           DH            RSA      3DES-CBC(168)          SHA1
    ECDHE-RSA-DES-CBC3-SHA                         ECDH          RSA      3DES-CBC(168)          SHA1
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DHE-RSA-AES128-SHA                             DH            RSA      AES-CBC(128)           SHA1
    ECDHE-RSA-AES128-SHA                           ECDH          RSA      AES-CBC(128)           SHA1
    ECDHE-RSA-RC4-SHA                              ECDH          RSA      RC4(128)               SHA1
    AES128-SHA                                     RSA           RSA      AES-CBC(128)           SHA1
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.19,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,443,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=CZ/L=Brno/O=Y Soft/OU=RnD/CN=SafeQ
|-Issuer  : C=CZ/L=Brno/O=Y Soft/OU=RnD/CN=SafeQ
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=CZ/L=Brno/O=Y Soft/OU=RnD/CN=SafeQ
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,1063,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.19
  oa01936a
  oa01936a.ibomgolfresort.com

The Common Name in the certificate is :

  SafeQ Server
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,4097,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.19
  oa01936a
  oa01936a.ibomgolfresort.com

The Common Name in the certificate is :

  Y Soft SafeQ
",ssl related vulnerability
10.204.224.19,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,1063,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EDH-RSA-DES-CBC3-SHA          0x00, 0x16       DH            RSA      3DES-CBC(168)          SHA1
    ECDHE-RSA-DES-CBC3-SHA        0xC0, 0x12       ECDH          RSA      3DES-CBC(168)          SHA1
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,4097,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=cz/ST=Jihomoravsky/L=Brno/O=Y Soft Corporation, a.s./OU=R&D/CN=Y Soft SafeQ
|-Issuer  : C=cz/ST=Jihomoravsky/L=Brno/O=Y Soft Corporation, a.s./OU=R&D/CN=Y Soft SafeQ
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl certificate cannot be trusted,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : CN=OA01936A.ibomgolfresort.com
|-Issuer  : CN=OA01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.19,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,3389,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=OA01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,5022,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.19
  oa01936a
  oa01936a.ibomgolfresort.com

The Common Name in the certificate is :

  SafeQ DS Web Server
",ssl related vulnerability
10.204.224.19,"Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",Medium,3389,tls version 1.0 protocol detection,TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability
10.204.224.19,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,5022,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,4097,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=cz/ST=Jihomoravsky/L=Brno/O=Y Soft Corporation, a.s./OU=R&D/CN=Y Soft SafeQ
",ssl related vulnerability
10.204.224.19,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.19
  oa01936a
  oa01936a.ibomgolfresort.com

The Common Name in the certificate is :

  SafeQ
",ssl related vulnerability
10.204.224.20,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,1433,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.20,Purchase or generate a proper SSL certificate for this service.,Medium,443,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.20
  pay01936a
  pay01936a.ibomgolfresort.com

The Common Name in the certificate is :

  www.humanmanager.org
",ssl related vulnerability
10.204.224.20,Purchase or generate a proper SSL certificate for this service.,Medium,1433,ssl certificate with wrong hostname,"
The identities known by Nessus are :

  10.204.224.20
  pay01936a
  pay01936a.ibomgolfresort.com

The Common Name in the certificate is :

  SSL_Self_Signed_Fallback
",ssl related vulnerability
10.204.224.20,Purchase or generate a proper SSL certificate for this service.,Medium,3389,ssl self-signed certificate,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : CN=PAY01936A.ibomgolfresort.com
",ssl related vulnerability
10.204.224.20,"Reconfigure the affected application if possible to avoid use of
medium strength ciphers.",Medium,3389,ssl medium strength cipher suites supported (sweet32),"
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability
10.204.224.20,"Purchase or generate a new SSL certificate to replace the existing
one.",Medium,443,ssl certificate expiry,"
The SSL certificate has already expired :

  Subject          : C=NG, ST=Lagos, L=Lagos, O=SystemSpecs Limited, OU=Systems Support, CN=www.humanmanager.org
  Issuer           : C=ZA, ST=Western Cape, L=Cape Town, O=Thawte Consulting cc, OU=Certification Services Division, CN=Thawte Premium Server CA, emailAddress=premium-server@thawte.com
  Not valid before : Aug  5 16:10:56 2005 GMT
  Not valid after  : Jun 30 11:40:18 2006 GMT
",ssl related vulnerability
10.204.224.20,Contact the Certificate Authority to have the SSL certificate reissued.,Medium,3389,ssl certificate signed using weak hashing algorithm,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : CN=PAY01936A.ibomgolfresort.com
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : May 31 01:57:27 2021 GMT
|-Valid To            : Nov 30 01:57:27 2021 GMT
",ssl related vulnerability
