Risk,Host,Name,Description,Solution,Plugin Output,Category,Reported
Medium,10.204.224.10,TLS Version 1.0 Protocol Detection,"The remote service accepts connections encrypted using TLS 1.0. TLS 1.0 has a
number of cryptographic design flaws. Modern implementations of TLS 1.0
mitigate these problems, but newer versions of TLS like 1.2 and 1.3 are
designed against these flaws and should be used whenever possible.

As of March 31, 2020, Endpoints that arenâ€™t enabled for TLS 1.2
and higher will no longer function properly with major web browsers and major vendors.

PCI DSS v3.2 requires that TLS 1.0 be disabled entirely by June 30,
2018, except for POS POI terminals (and the SSL/TLS termination
points to which they connect) that can be verified as not being
susceptible to any known exploits.","Enable support for TLS 1.2 and 1.3, and disable support for TLS 1.0.",TLSv1 is enabled and the server supports at least one cipher.,ssl related vulnerability,yes
Medium,10.204.224.13,SMB Signing not required,"Signing is not required on the remote SMB server. An unauthenticated,
remote attacker can exploit this to conduct man-in-the-middle attacks
against the SMB server.","Enforce message signing in the host's configuration. On Windows, this
is found in the policy setting 'Microsoft network server: Digitally
sign communications (always)'. On Samba, the setting is called 'server
signing'. See the 'see also' links for further details.",,inadequate security configuration,yes
Critical,10.204.224.13,Unsupported Windows OS (remote),"The remote version of Microsoft Windows is either missing a service pack
or is no longer supported. As a result, it is likely to contain security
vulnerabilities.",Upgrade to a supported service pack or operating system,"
The following Windows version is installed and not supported:

Microsoft Windows 7 Professional
",unsupported operating system,yes
Medium,10.204.224.16,Microsoft Windows Remote Desktop Protocol Server Man-in-the-Middle Weakness,"The remote version of the Remote Desktop Protocol Server (Terminal
Service) is vulnerable to a man-in-the-middle (MiTM) attack. The RDP 
client makes no effort to validate the identity of the server when 
setting up encryption. An attacker with the ability to intercept 
traffic from the RDP server can establish encryption with the client 
and server without being detected. A MiTM attack of this nature would 
allow the attacker to obtain any sensitive information transmitted, 
including authentication credentials.

This flaw exists because the RDP server stores a hard-coded RSA
private key in the mstlsapi.dll library. Any local user with
access to this file (on any Windows system) can retrieve the
key and use it for this attack.","- Force the use of SSL as a transport layer for this service if
supported, or/and

- Select the 'Allow connections only from computers running Remote 
Desktop with Network Level Authentication' setting if it is available.",,inadequate security configuration,yes
Low,10.204.224.16,Terminal Services Encryption Level is not FIPS-140 Compliant,"The encryption setting used by the remote Terminal Services service
is not FIPS-140 compliant.","Change RDP encryption level to :

 4. FIPS Compliant","
The terminal services encryption level is set to :

2. Medium (Client Compatible)",inadequate security configuration,yes
High,10.204.224.16,Unsupported Web Server Detection,"According to its version, the remote web server is obsolete and no
longer maintained by its vendor or provider.

Lack of support implies that no new security patches for the product
will be released by the vendor. As a result, it may contain security
vulnerabilities.","Remove the web server if it is no longer needed. Otherwise, upgrade to a
supported version if possible or switch to another server.","
  Product                : Oracle Application Server 10.1.2.x
  Server response header : Oracle-Application-Server-10g/10.1.2.3.0 Oracle-HTTP-Server
  Support ended          : 2011-12-01
  Supported versions     : Oracle Application Server 10.1.3.x / 11.1.1.x
  Additional information : http://www.nessus.org/u?4a0600d0
",VULNERABLE VERSION OF APPLICATION IN USE,yes
High,10.204.224.16,Unsupported Web Server Detection,"According to its version, the remote web server is obsolete and no
longer maintained by its vendor or provider.

Lack of support implies that no new security patches for the product
will be released by the vendor. As a result, it may contain security
vulnerabilities.","Remove the web server if it is no longer needed. Otherwise, upgrade to a
supported version if possible or switch to another server.","
  Product                : Oracle Application Server 10.1.2.x
  Server response header : Oracle-Application-Server-10g/10.1.2.3.0 Oracle-HTTP-Server
  Support ended          : 2011-12-01
  Supported versions     : Oracle Application Server 10.1.3.x / 11.1.1.x
  Additional information : http://www.nessus.org/u?4a0600d0
",VULNERABLE VERSION OF APPLICATION IN USE,yes
Critical,10.204.224.16,Oracle Database Unsupported Version Detection,"According to its version, the installation of Oracle Database running
on the remote host is no longer supported.

Lack of support implies that no new security patches for the product
will be released by the vendor. As a result, it is likely to contain
security vulnerabilities.",Upgrade to a version of Oracle Database that is currently supported.,"
  Version source     : TNSLSNR for : Version 11.2.0.4.0
  Installed version  : 11.2.0.4.0
  Supported versions : 12.1.0.2 / 12.2.0.1 / 18c / 19c
",VULNERABLE VERSION OF APPLICATION IN USE,yes
Medium,10.204.224.16,SMB Signing not required,"Signing is not required on the remote SMB server. An unauthenticated,
remote attacker can exploit this to conduct man-in-the-middle attacks
against the SMB server.","Enforce message signing in the host's configuration. On Windows, this
is found in the policy setting 'Microsoft network server: Digitally
sign communications (always)'. On Samba, the setting is called 'server
signing'. See the 'see also' links for further details.",,inadequate security configuration,yes
Medium,10.204.224.16,Terminal Services Encryption Level is Medium or Low,"The remote Terminal Services service is not configured to use strong
cryptography. 

Using weak cryptography with this service may allow an attacker to
eavesdrop on the communications more easily and obtain screenshots
and/or keystrokes.","Change RDP encryption level to one of :

 3. High

 4. FIPS Compliant","
The terminal services encryption level is set to :

2. Medium",inadequate security configuration,yes
Medium,10.204.224.16,Terminal Services Doesn't Use Network Level Authentication (NLA) Only,"The remote Terminal Services is not configured to use Network Level
Authentication (NLA) only. NLA uses the Credential Security Support
Provider (CredSSP) protocol to perform strong server authentication
either through TLS/SSL or Kerberos mechanisms, which protect against
man-in-the-middle attacks. In addition to improving authentication, 
NLA also helps protect the remote computer from malicious users and 
software by completing user authentication before a full RDP 
connection is established.","Enable Network Level Authentication (NLA) on the remote RDP server. This is
generally done on the 'Remote' tab of the 'System' settings on Windows.",Nessus was able to negotiate non-NLA (Network Level Authentication) security.,inadequate security configuration,yes
Low,10.204.224.16,SSH Server CBC Mode Ciphers Enabled,"The SSH server is configured to support Cipher Block Chaining (CBC)
encryption.  This may allow an attacker to recover the plaintext message
from the ciphertext. 

Note that this plugin only checks for the options of the SSH server and
does not check for vulnerable software versions.","Contact the vendor or consult product documentation to disable CBC mode
cipher encryption, and enable CTR or GCM cipher mode encryption.","
The following client-to-server Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  aes192-cbc
  aes256-cbc
  blowfish-cbc

The following server-to-client Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  aes192-cbc
  aes256-cbc
  blowfish-cbc
",inadequate security configuration,yes
Low,10.204.224.16,SSH Weak MAC Algorithms Enabled,"The remote SSH server is configured to allow either MD5 or 96-bit MAC
algorithms, both of which are considered weak.

Note that this plugin only checks for the options of the SSH server,
and it does not check for vulnerable software versions.","Contact the vendor or consult product documentation to disable MD5 and
96-bit MAC algorithms.","
The following client-to-server Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96

The following server-to-client Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
  hmac-md5-96
  hmac-sha1-96
",inadequate security configuration,yes
Critical,10.204.224.16,Unsupported Windows OS (remote),"The remote version of Microsoft Windows is either missing a service pack
or is no longer supported. As a result, it is likely to contain security
vulnerabilities.",Upgrade to a supported service pack or operating system,"
The following Windows version is installed and not supported:

Microsoft Windows Server 2008 R2 Standard Service Pack 1
",unsupported operating system,yes
High,10.204.224.17,SSL Version 2 and 3 Protocol Detection,"The remote service accepts connections encrypted using SSL 2.0 and/or
SSL 3.0. These versions of SSL are affected by several cryptographic
flaws, including:

  - An insecure padding scheme with CBC ciphers.

  - Insecure session renegotiation and resumption schemes.

An attacker can exploit these flaws to conduct man-in-the-middle
attacks or to decrypt communications between the affected service and
clients.

Although SSL/TLS has a secure means for choosing the highest supported
version of the protocol (so that these versions will be used only if
the client or server support nothing better), many web browsers
implement this in an unsafe way that allows an attacker to downgrade
a connection (such as in POODLE). Therefore, it is recommended that
these protocols be disabled entirely.

NIST has determined that SSL 3.0 is no longer acceptable for secure
communications. As of the date of enforcement found in PCI DSS v3.1,
any version of SSL will not meet the PCI SSC's definition of 'strong
cryptography'.","Consult the application's documentation to disable SSL 2.0 and 3.0.
Use TLS 1.2 (with approved cipher suites) or higher instead.","
- SSLv3 is enabled and the server supports at least one cipher.
	Explanation: TLS 1.0 and SSL 3.0 cipher suites may be used with SSLv3


  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP-DES-CBC-SHA                                RSA(512)      RSA      DES-CBC(40)            SHA1      export
    EXP-RC4-MD5                                    RSA(512)      RSA      RC4(40)                MD5       export
    DES-CBC-SHA                                    RSA           RSA      DES-CBC(56)            SHA1

  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                                   RSA           RSA      3DES-CBC(168)          SHA1

  High Strength Ciphers (>= 112-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    RC4-MD5                                        RSA           RSA      RC4(128)               MD5
    RC4-SHA                                        RSA           RSA      RC4(128)               SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Medium,10.204.224.17,SSL Weak Cipher Suites Supported,"The remote host supports the use of SSL ciphers that offer weak
encryption.

Note: This is considerably easier to exploit if the attacker is on the
same physical network.","Reconfigure the affected application, if possible to avoid the use of
weak ciphers.","
Here is the list of weak SSL ciphers supported by the remote server :

  Low Strength Ciphers (<= 64-bit key)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    EXP-DES-CBC-SHA               0x00, 0x08       RSA(512)      RSA      DES-CBC(40)            SHA1      export
    EXP-RC4-MD5                   0x00, 0x03       RSA(512)      RSA      RC4(40)                MD5       export
    DES-CBC-SHA                   0x00, 0x09       RSA           RSA      DES-CBC(56)            SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
High,10.204.224.17,Unsupported Web Server Detection,"According to its version, the remote web server is obsolete and no
longer maintained by its vendor or provider.

Lack of support implies that no new security patches for the product
will be released by the vendor. As a result, it may contain security
vulnerabilities.","Remove the web server if it is no longer needed. Otherwise, upgrade to a
supported version if possible or switch to another server.","
  Product                : Oracle Application Server 10.1.2.x
  Server response header : Oracle-Application-Server-10g/10.1.2.3.0 Oracle-HTTP-Server
  Support ended          : 2011-12-01
  Supported versions     : Oracle Application Server 10.1.3.x / 11.1.1.x
  Additional information : http://www.nessus.org/u?4a0600d0
",VULNERABLE VERSION OF APPLICATION IN USE,yes
High,10.204.224.17,Unsupported Web Server Detection,"According to its version, the remote web server is obsolete and no
longer maintained by its vendor or provider.

Lack of support implies that no new security patches for the product
will be released by the vendor. As a result, it may contain security
vulnerabilities.","Remove the web server if it is no longer needed. Otherwise, upgrade to a
supported version if possible or switch to another server.","
  Product                : Oracle Application Server 10.1.2.x
  Server response header : Oracle-Application-Server-10g/10.1.2.3.0 Oracle-HTTP-Server
  Support ended          : 2011-12-01
  Supported versions     : Oracle Application Server 10.1.3.x / 11.1.1.x
  Additional information : http://www.nessus.org/u?4a0600d0
",VULNERABLE VERSION OF APPLICATION IN USE,yes
Medium,10.204.224.17,SSL Certificate Signed Using Weak Hashing Algorithm,"The remote service uses an SSL certificate chain that has been signed
using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5,
or SHA1). These signature algorithms are known to be vulnerable to
collision attacks. An attacker can exploit this to generate another
certificate with the same digital signature, allowing an attacker to
masquerade as the affected service.

Note that this plugin reports all SSL certificate chains signed with
SHA-1 that expire after January 1, 2017 as vulnerable. This is in
accordance with Google's gradual sunsetting of the SHA-1 cryptographic
hash algorithm.

Note that certificates in the chain that are contained in the Nessus
CA database (known_CA.inc) have been ignored.",Contact the Certificate Authority to have the SSL certificate reissued.,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : C=NG/ST=Lagos/L=VI/O=Current-link/OU=IT Department/CN=ROOT CA
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : Apr 12 09:54:02 2017 GMT
|-Valid To            : Apr 13 09:54:02 2027 GMT

|-Subject             : C=NG/ST=AK/O=Le Meridien Ibom/OU=IT Department/CN=PMS01936A
|-Signature Algorithm : SHA-1 With RSA Encryption
|-Valid From          : May 10 11:49:26 2017 GMT
|-Valid To            : May 11 11:49:26 2027 GMT
",ssl related vulnerability,yes
Medium,10.204.224.17,SSL Certificate Signed Using Weak Hashing Algorithm,"The remote service uses an SSL certificate chain that has been signed
using a cryptographically weak hashing algorithm (e.g. MD2, MD4, MD5,
or SHA1). These signature algorithms are known to be vulnerable to
collision attacks. An attacker can exploit this to generate another
certificate with the same digital signature, allowing an attacker to
masquerade as the affected service.

Note that this plugin reports all SSL certificate chains signed with
SHA-1 that expire after January 1, 2017 as vulnerable. This is in
accordance with Google's gradual sunsetting of the SHA-1 cryptographic
hash algorithm.

Note that certificates in the chain that are contained in the Nessus
CA database (known_CA.inc) have been ignored.",Contact the Certificate Authority to have the SSL certificate reissued.,"
The following certificates were part of the certificate chain sent by
the remote host, but contain hashes that are considered to be weak.

|-Subject             : C=US/ST=OR/L=Portland/O=ORACLE DEMO CA/OU=DO NOT USE COMMERCIALLY/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
|-Signature Algorithm : MD5 With RSA Encryption
|-Valid From          : Oct 09 00:00:19 2001 GMT
|-Valid To            : Feb 24 00:00:19 2029 GMT

|-Subject             : C=US/ST=OR/L=Portland/O=ORACLE DEMO CERTIFICATE/OU=NOT FOR COMMERCIAL USE/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
|-Signature Algorithm : MD5 With RSA Encryption
|-Valid From          : Oct 09 00:04:42 2001 GMT
|-Valid To            : Feb 24 00:04:42 2029 GMT
",ssl related vulnerability,yes
Medium,10.204.224.17,SSL Medium Strength Cipher Suites Supported (SWEET32),"The remote host supports the use of SSL ciphers that offer medium
strength encryption. Nessus regards medium strength as any encryption
that uses key lengths at least 64 bits and less than 112 bits, or 
else that uses the 3DES encryption suite.

Note that it is considerably easier to circumvent medium strength
encryption if the attacker is on the same physical network.","Reconfigure the affected application if possible to avoid use of
medium strength ciphers.","
  Medium Strength Ciphers (> 64-bit and < 112-bit key, or 3DES)

    Name                          Code             KEX           Auth     Encryption             MAC
    ----------------------        ----------       ---           ----     ---------------------  ---
    DES-CBC3-SHA                  0x00, 0x0A       RSA           RSA      3DES-CBC(168)          SHA1

The fields above are :

  {Tenable ciphername}
  {Cipher ID code}
  Kex={key exchange}
  Auth={authentication}
  Encrypt={symmetric encryption method}
  MAC={message authentication code}
  {export flag}
",ssl related vulnerability,yes
Medium,10.204.224.17,SSL Certificate with Wrong Hostname,"The 'commonName' (CN) attribute of the SSL certificate presented for
this service is for a different machine.",Purchase or generate a proper SSL certificate for this service.,"
The identities known by Nessus are :

  10.204.224.17
  169.254.115.180
  169.254.155.83
  169.254.179.47
  pms01936dg
  pms01936dg.ibomgolfresort.com

The Common Name in the certificate is :

  PMS01936A
",ssl related vulnerability,yes
Medium,10.204.224.17,SSL Certificate with Wrong Hostname,"The 'commonName' (CN) attribute of the SSL certificate presented for
this service is for a different machine.",Purchase or generate a proper SSL certificate for this service.,"
The identities known by Nessus are :

  10.204.224.17
  169.254.115.180
  169.254.155.83
  169.254.179.47
  pms01936dg
  pms01936dg.ibomgolfresort.com

The Common Name in the certificate is :

  GET A REAL CERTIFICATE!!!
",ssl related vulnerability,yes
Medium,10.204.224.17,SSL Certificate Cannot Be Trusted,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=NG/ST=Lagos/L=VI/O=Current-link/OU=IT Department/CN=ROOT CA
|-Issuer  : C=NG/ST=Lagos/L=VI/O=Current-link/OU=IT Department/CN=ROOT CA
",ssl related vulnerability,yes
Medium,10.204.224.17,SSL Certificate Cannot Be Trusted,"The server's X.509 certificate cannot be trusted. This situation can
occur in three different ways, in which the chain of trust can be
broken, as stated below :

  - First, the top of the certificate chain sent by the
    server might not be descended from a known public
    certificate authority. This can occur either when the
    top of the chain is an unrecognized, self-signed
    certificate, or when intermediate certificates are
    missing that would connect the top of the certificate
    chain to a known public certificate authority.

  - Second, the certificate chain may contain a certificate
    that is not valid at the time of the scan. This can
    occur either when the scan occurs before one of the
    certificate's 'notBefore' dates, or after one of the
    certificate's 'notAfter' dates.

  - Third, the certificate chain may contain a signature
    that either didn't match the certificate's information
    or could not be verified. Bad signatures can be fixed by
    getting the certificate with the bad signature to be
    re-signed by its issuer. Signatures that could not be
    verified are the result of the certificate's issuer
    using a signing algorithm that Nessus either does not
    support or does not recognize.

If the remote host is a public host in production, any break in the
chain makes it more difficult for users to verify the authenticity and 
identity of the web server. This could make it easier to carry out 
man-in-the-middle attacks against the remote host.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was at the top of the certificate
chain sent by the remote host, but it is signed by an unknown
certificate authority :

|-Subject : C=US/ST=OR/L=Portland/O=ORACLE DEMO CA/OU=DO NOT USE COMMERCIALLY/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
|-Issuer  : C=US/ST=OR/L=Portland/O=ORACLE DEMO CA/OU=DO NOT USE COMMERCIALLY/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
",ssl related vulnerability,yes
Critical,10.204.224.17,Oracle Database Unsupported Version Detection,"According to its version, the installation of Oracle Database running
on the remote host is no longer supported.

Lack of support implies that no new security patches for the product
will be released by the vendor. As a result, it is likely to contain
security vulnerabilities.",Upgrade to a version of Oracle Database that is currently supported.,"
  Version source     : TNSLSNR for : Version 11.2.0.4.0
  Installed version  : 11.2.0.4.0
  Supported versions : 12.1.0.2 / 12.2.0.1 / 18c / 19c
",VULNERABLE VERSION OF APPLICATION IN USE,yes
Medium,10.204.224.17,SSL Self-Signed Certificate,"The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=NG/ST=Lagos/L=VI/O=Current-link/OU=IT Department/CN=ROOT CA
",ssl related vulnerability,yes
Medium,10.204.224.17,SSL Self-Signed Certificate,"The X.509 certificate chain for this service is not signed by a
recognized certificate authority.  If the remote host is a public host
in production, this nullifies the use of SSL as anyone could establish
a man-in-the-middle attack against the remote host. 

Note that this plugin does not check for certificate chains that end
in a certificate that is not self-signed, but is signed by an
unrecognized certificate authority.",Purchase or generate a proper SSL certificate for this service.,"
The following certificate was found at the top of the certificate
chain sent by the remote host, but is self-signed and was not
found in the list of known certificate authorities :

|-Subject : C=US/ST=OR/L=Portland/O=ORACLE DEMO CA/OU=DO NOT USE COMMERCIALLY/CN=GET A REAL CERTIFICATE!!!/E=FOR TEST PURPOSES ONLY
",ssl related vulnerability,yes
