Plugin ID,CVE,CVSS v2.0 Base Score,Risk,Host,Protocol,Port,Name,Synopsis,Description,Solution,See Also,Plugin Output,STIG Severity,CVSS v3.0 Base Score,CVSS v2.0 Temporal Score,CVSS v3.0 Temporal Score,Risk Factor,BID,XREF,MSKB,Plugin Publication Date,Plugin Modification Date,Metasploit,Core Impact,CANVAS
11219,,,None,10.204.224.1,tcp,23,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 23/tcp was found to be open,,,,,None,,,,2/4/2009,7/12/2021,,,
11219,,,None,10.204.224.1,tcp,80,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 80/tcp was found to be open,,,,,None,,,,2/4/2009,7/12/2021,,,
11219,,,None,10.204.224.1,tcp,1723,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 1723/tcp was found to be open,,,,,None,,,,2/4/2009,7/12/2021,,,
11219,,,None,10.204.224.1,tcp,2000,Nessus SYN scanner,It is possible to determine which TCP ports are open.,"This plugin is a SYN 'half-open' port scanner.  It shall be reasonably
quick even against a firewalled target. 

Note that SYN scans are less intrusive than TCP (full connect) scans
against broken services, but they might cause problems for less robust
firewalls and also leave unclosed connections on the remote target, if
the network is loaded.",Protect your target with an IP filter.,,Port 2000/tcp was found to be open,,,,,None,,,,2/4/2009,7/12/2021,,,
11936,,,None,10.204.224.1,tcp,0,OS Identification,It is possible to guess the remote operating system.,"Using a combination of remote probes (e.g., TCP/IP, SMB, HTTP, NTP,
SNMP, etc.), it is possible to guess the name of the remote operating
system in use. It is also possible sometimes to guess the version of
the operating system.",n/a,,"
Remote operating system : MikroTik RouterOS v6.46.5
Confidence level : 100
Method : FTP

Primary method : HTML

 
The remote host is running MikroTik RouterOS v6.46.5",,,,,None,,,,12/9/2003,5/12/2021,,,
19506,,,None,10.204.224.1,tcp,0,Nessus Scan Information,This plugin displays information about the Nessus scan.,"This plugin displays, for each tested host, information about the
scan itself :

  - The version of the plugin set.
  - The type of scanner (Nessus or Nessus Home).
  - The version of the Nessus Engine.
  - The port scanner(s) used.
  - The port range scanned.
  - The ping round trip time 
  - Whether credentialed or third-party patch management
    checks are possible.
  - Whether the display of superseded patches is enabled
  - The date of the scan.
  - The duration of the scan.
  - The number of hosts scanned in parallel.
  - The number of checks done in parallel.",n/a,,"Information about this scan : 

Nessus version : 8.15.0
Nessus build : 20271
Plugin feed version : 202107281605
Scanner edition used : Nessus
Scanner OS : WINDOWS
Scanner distribution : win-x86-64
Scan type : Normal
Scan name : IBOM1
Scan policy used : Basic Network Scan
Scanner IP : 10.204.224.210
Port scanner(s) : nessus_syn_scanner 
Port range : default
Ping RTT : 175.836 ms
Thorough tests : no
Experimental tests : no
Paranoia level : 1
Report verbosity : 1
Safe checks : yes
Optimize the test : yes
Credentialed checks : no
Patch management checks : None
Display superseded patches : yes (supersedence plugin launched)
CGI scanning : disabled
Web application tests : disabled
Max hosts : 30
Max checks : 4
Recv timeout : 5
Backports : None
Allow post-scan editing: Yes
Scan Start Date : 2021/8/13 12:01 W. Central Africa Standard Time
Scan duration : 259 sec
",,,,,None,,,,8/26/2005,6/28/2021,,,
19689,,,None,10.204.224.1,tcp,80,Embedded Web Server Detection,The remote web server is embedded.,"The remote web server cannot host user-supplied CGIs. CGI scanning
will be disabled on this server.",n/a,,,,,,,None,,,,9/14/2005,11/22/2019,,,
22964,,,None,10.204.224.1,tcp,21,Service Detection,The remote service could be identified.,"Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.",n/a,,An FTP server is running on this port.,,,,,None,,,,8/19/2007,4/14/2021,,,
22964,,,None,10.204.224.1,tcp,22,Service Detection,The remote service could be identified.,"Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.",n/a,,An SSH server is running on this port.,,,,,None,,,,8/19/2007,4/14/2021,,,
22964,,,None,10.204.224.1,tcp,23,Service Detection,The remote service could be identified.,"Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.",n/a,,"The service closed the connection without sending any data.
It might be protected by some sort of TCP wrapper.",,,,,None,,,,8/19/2007,4/14/2021,,,
22964,,,None,10.204.224.1,tcp,80,Service Detection,The remote service could be identified.,"Nessus was able to identify the remote service by its banner or by
looking at the error message it sends when it receives an HTTP
request.",n/a,,A web server is running on this port.,,,,,None,,,,8/19/2007,4/14/2021,,,
25220,,,None,10.204.224.1,tcp,0,TCP/IP Timestamps Supported,The remote service implements TCP timestamps.,"The remote host implements TCP timestamps, as defined by RFC1323.  A
side effect of this feature is that the uptime of the remote host can
sometimes be computed.",n/a,http://www.ietf.org/rfc/rfc1323.txt,,,,,,None,,,,5/16/2007,3/6/2019,,,
30212,,,None,10.204.224.1,tcp,80,MikroTik RouterOS Detection,The remote host is a router.,"According to one of its service banners, the remote host is running
MikroTik RouterOS, a specialized Linux-based operating system that
allows Intel-class PCs to act as a network router or access point.",n/a,https://mikrotik.com/,"
According to its HTTP service, the remote host is running MikroTik
RouterOS version 6.46.5.",,,,,None,,IAVT:0001-T-0671,,2/11/2008,9/22/2020,,,
35716,,,None,10.204.224.1,tcp,0,Ethernet Card Manufacturer Detection,The manufacturer can be identified from the Ethernet OUI.,"Each ethernet MAC address starts with a 24-bit Organizationally 
Unique Identifier (OUI). These OUIs are registered by IEEE.",n/a,"https://standards.ieee.org/faqs/regauth.html
http://www.nessus.org/u?794673b4","
The following card manufacturers were identified :

E4:8D:8C:19:3A:73 : Routerboard.com
",,,,,None,,,,2/19/2009,5/13/2020,,,
45590,,,None,10.204.224.1,tcp,0,Common Platform Enumeration (CPE),"It was possible to enumerate CPE names that matched on the remote
system.","By using information obtained from a Nessus scan, this plugin reports
CPE (Common Platform Enumeration) matches for various hardware and
software products found on a host. 

Note that if an official CPE is not available for the product, this
plugin computes the best possible CPE based on the information
available from the scan.",n/a,"http://cpe.mitre.org/
https://nvd.nist.gov/products/cpe","
The remote operating system matched the following CPE : 

  cpe:/o:mikrotik:routeros:6.46.5
",,,,,None,,,,4/21/2010,7/22/2021,,,
54615,,,None,10.204.224.1,tcp,0,Device Type,It is possible to guess the remote device type.,"Based on the remote operating system, it is possible to determine
what the remote system type is (eg: a printer, router, general-purpose
computer, etc).",n/a,,"Remote device type : router
Confidence level : 100
",,,,,None,,,,5/23/2011,5/23/2011,,,
59731,,,None,10.204.224.1,tcp,8291,MikroTik RouterOS Winbox Detection,A configuration service is listening on the remote host.,"The remote port is used by Winbox, a remote management tool, to
administer devices running MikroTik RouterOS.",Limit access to this port to authorized hosts.,https://wiki.mikrotik.com/wiki/Manual:Winbox,"
  Filename : advtool.dll
  Version  : 6.46.5
  Size     : 31704

  Filename : secure.dll
  Version  : 6.46.5
  Size     : 38393

  Filename : dhcp.dll
  Version  : 6.46.5
  Size     : 39548

  Filename : ppp.dll
  Version  : 6.46.5
  Size     : 43438

  Filename : roting4.dll
  Version  : 6.46.5
  Size     : 55008

  Filename : mpls.dll
  Version  : 6.46.5
  Size     : 39209

  Filename : wlan6.dll
  Version  : 6.46.5
  Size     : 75351

  Filename : roteros.dll
  Version  : 6.46.5
  Size     : 736814

  Filename : system.dll
  Version  : 6.46.5
  Size     : 2540
",,,,,None,,,,6/27/2012,11/22/2019,,,
70657,,,None,10.204.224.1,tcp,22,SSH Algorithms and Languages Supported,An SSH server is listening on this port.,"This script detects which algorithms and languages are supported by
the remote service for encrypting communications.",n/a,,"
Nessus negotiated the following encryption algorithm with the server : 

The server supports the following options for kex_algorithms : 

  diffie-hellman-group-exchange-sha1
  diffie-hellman-group-exchange-sha256
  diffie-hellman-group1-sha1
  diffie-hellman-group14-sha1

The server supports the following options for server_host_key_algorithms : 

  rsa-sha2-256
  ssh-dss
  ssh-rsa

The server supports the following options for encryption_algorithms_client_to_server : 

  3des-cbc
  aes128-cbc
  aes128-ctr
  aes192-cbc
  aes192-ctr
  aes256-cbc
  aes256-ctr
  blowfish-cbc

The server supports the following options for encryption_algorithms_server_to_client : 

  3des-cbc
  aes128-cbc
  aes128-ctr
  aes192-cbc
  aes192-ctr
  aes256-cbc
  aes256-ctr
  blowfish-cbc

The server supports the following options for mac_algorithms_client_to_server : 

  hmac-md5
  hmac-sha1

The server supports the following options for mac_algorithms_server_to_client : 

  hmac-md5
  hmac-sha1

The server supports the following options for compression_algorithms_client_to_server : 

  none

The server supports the following options for compression_algorithms_server_to_client : 

  none
",,,,,None,,,,10/28/2013,8/28/2017,,,
70658,CVE-2008-5161,2.6,Low,10.204.224.1,tcp,22,SSH Server CBC Mode Ciphers Enabled,The SSH server is configured to use Cipher Block Chaining.,"The SSH server is configured to support Cipher Block Chaining (CBC)
encryption.  This may allow an attacker to recover the plaintext message
from the ciphertext. 

Note that this plugin only checks for the options of the SSH server and
does not check for vulnerable software versions.","Contact the vendor or consult product documentation to disable CBC mode
cipher encryption, and enable CTR or GCM cipher mode encryption.",,"
The following client-to-server Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  aes192-cbc
  aes256-cbc
  blowfish-cbc

The following server-to-client Cipher Block Chaining (CBC) algorithms
are supported : 

  3des-cbc
  aes128-cbc
  aes192-cbc
  aes256-cbc
  blowfish-cbc
",,,1.9,,Low,32319,CERT:958563;CWE:200,,10/28/2013,7/30/2018,,,
71049,,2.6,Low,10.204.224.1,tcp,22,SSH Weak MAC Algorithms Enabled,"The remote SSH server is configured to allow MD5 and 96-bit MAC
algorithms.","The remote SSH server is configured to allow either MD5 or 96-bit MAC
algorithms, both of which are considered weak.

Note that this plugin only checks for the options of the SSH server,
and it does not check for vulnerable software versions.","Contact the vendor or consult product documentation to disable MD5 and
96-bit MAC algorithms.",,"
The following client-to-server Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5

The following server-to-client Message Authentication Code (MAC) algorithms
are supported : 

  hmac-md5
",,,,,Low,,,,11/22/2013,12/14/2016,,,
71077,,,None,10.204.224.1,udp,5678,MikroTik Neighbor Discovery Protocol Detection,A discovery service is listening on this port.,"The remote service supports MikroTik Neighbor Discovery Protocol
(MNDP), used by MikroTik to locate devices in the Layer 2 broadcast
domain.",n/a,https://wiki.mikrotik.com/wiki/Manual:IP/Neighbor_discovery,"  Version     : 6.46.5
  MAC address : e4:8d:8c:19:3a:73
  Board name  : RB2011UiAS
  Identity    : IIHGR-ROUTER
  Interface   : ether3 LAN-Corporate
  License     : K1GI-CSL6
  Unpack      : 0
  Uptime      : 591801 seconds
  Vendor      : MikroTik
",,,,,None,,,,11/25/2013,7/12/2021,,,
71175,,,None,10.204.224.1,udp,20561,MikroTik MAC Telnet Protocol Detection,A remote administration service is listening on this port.,"The remote service supports MikroTik MAC Telnet Protocol, a proprietary
protocol used to remotely administer MikroTik's RouterOS network
devices.",Limit access to this port to authorized hosts.,https://wiki.wireshark.org/Protocols/mactelnet,,,,,,None,,,,12/3/2013,7/12/2021,,,
86420,,,None,10.204.224.1,tcp,0,Ethernet MAC Addresses,"This plugin gathers MAC addresses from various sources and
consolidates them into a list.","This plugin gathers MAC addresses discovered from both remote probing
of the host (e.g. SNMP and Netbios) and from running local checks
(e.g. ifconfig). It then consolidates the MAC addresses into a single,
unique, and uniform list.",n/a,,"The following is a consolidated list of detected MAC addresses:
  - E4:8D:8C:19:3A:73
",,,,,None,,,,10/16/2015,5/13/2020,,,
110723,,,None,10.204.224.1,tcp,0,Target Credential Status by Authentication Protocol - No Credentials Provided,"Nessus was able to find common ports used for local checks,
however, no credentials were provided in the scan policy.","Nessus was not able to successfully authenticate directly to the
remote target on an available authentication protocol. Nessus was
able to connect to the remote port and identify that the service
running on the port supports an authentication protocol, but Nessus
failed to authenticate to the remote service using the provided
credentials. There may have been a protocol failure that prevented
authentication from being attempted or all of the provided credentials
for the authentication protocol may be invalid. See plugin output for
error details.

Please note the following :

- This plugin reports per protocol, so it is possible for
  valid credentials to be provided for one protocol and not
  another. For example, authentication may succeed via SSH
  but fail via SMB, while no credentials were provided for
  an available SNMP service.

- Providing valid credentials for all available
  authentication protocols may improve scan coverage, but
  the value of successful authentication for a given
  protocol may vary from target to target depending upon
  what data (if any) is gathered from the target via that
  protocol. For example, successful authentication via SSH
  is more valuable for Linux targets than for Windows
  targets, and likewise successful authentication via SMB
  is more valuable for Windows targets than for Linux
  targets.",n/a,,"SSH was detected on port 22 but no credentials were provided.
SSH local checks were not enabled.

",,,,,None,,IAVB:0001-B-0504,,6/27/2018,1/25/2021,,,
117886,,,None,10.204.224.1,tcp,0,OS Security Patch Assessment Not Available,OS Security Patch Assessment is not available.,"OS Security Patch Assessment is not available on the remote host.
This does not necessarily indicate a problem with the scan.
Credentials may not have been provided, OS security patch assessment
may not be supported for the target, the target may not have been
identified, or another issue may have occurred that prevented OS
security patch assessment from being available. See plugin output for
details.

This plugin reports non-failure information impacting the availability
of OS Security Patch Assessment. Failure information is reported by
plugin 21745 : 'OS Security Patch Assessment failed'.  If a target
host is not supported for OS Security Patch Assessment, plugin
110695 : 'OS Security Patch Assessment Checks Not Supported' will
report concurrently with this plugin.",n/a,,"
The following issues were reported :

  - Plugin      : no_local_checks_credentials.nasl
    Plugin ID   : 110723
    Plugin Name : Target Credential Status by Authentication Protocol - No Credentials Provided
    Message     : 
Credentials were not provided for detected SSH service.
",,,,,None,,IAVB:0001-B-0515,,10/2/2018,7/12/2021,,,
149334,,,None,10.204.224.1,tcp,22,SSH Password Authentication Accepted,The SSH server on the remote host accepts password authentication.,The SSH server on the remote host accepts password authentication.,n/a,https://tools.ietf.org/html/rfc4252#section-8,,,,,,None,,,,5/7/2021,5/7/2021,,,
10107,,,None,10.204.224.10,tcp,80,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Apache",,,,,None,,IAVT:0001-T-0931,,1/4/2000,10/30/2020,,,
10107,,,None,10.204.224.10,tcp,443,HTTP Server Type and Version,A web server is running on the remote host.,"This plugin attempts to determine the type and the version of the
  remote web server.",n/a,,"The remote web server type is :

Apache",,,,,None,,IAVT:0001-T-0931,,1/4/2000,10/30/2020,,,
10114,CVE-1999-0524,0,None,10.204.224.10,icmp,0,ICMP Timestamp Request Remote Date Disclosure,It is possible to determine the exact time set on the remote host.,"The remote host answers to an ICMP timestamp request.  This allows an
attacker to know the date that is set on the targeted machine, which
may assist an unauthenticated, remote attacker in defeating time-based
authentication protocols.

Timestamps returned from machines running Windows Vista / 7 / 2008 /
2008 R2 are deliberately incorrect, but usually within 1000 seconds of
the actual system time.","Filter out the ICMP timestamp requests (13), and the outgoing ICMP
timestamp replies (14).",,"The difference between the local and remote clocks is -41 seconds.
",,0,,,None,,CWE:200,,8/1/1999,10/4/2019,,,
10150,,,None,10.204.224.10,udp,137,Windows NetBIOS / SMB Remote Host Information Disclosure,It was possible to obtain the network name of the remote host.,"The remote host is listening on UDP port 137 or TCP port 445, and
replies to NetBIOS nbtscan or SMB requests.

Note that this plugin gathers information to be used in other plugins,
but does not itself generate a report.",n/a,,"The following 5 NetBIOS names have been gathered :

 SS01936A         = Computer name
 SS01936A         = Messenger Service
 SS01936A         = File Server Service
 IBOMGOLFRESORT   = Workgroup / Domain name
 IBOMGOLFRESORT   = Browser Service Elections

This SMB server seems to be a Samba server - its MAC address is NULL.",,,,,None,,,,10/12/1999,2/10/2021,,,
10287,,,None,10.204.224.10,udp,0,Traceroute Information,It was possible to obtain traceroute information.,Makes a traceroute to the remote host.,n/a,,"For your information, here is the traceroute from 10.204.224.210 to 10.204.224.10 : 
10.204.224.210
10.204.224.10

Hop Count: 1
",,,,,None,,,,11/27/1999,8/20/2020,,,
10395,,,None,10.204.224.10,tcp,445,Microsoft Windows SMB Shares Enumeration,It is possible to enumerate remote network shares.,"By connecting to the remote host, Nessus was able to enumerate the
network share names.",n/a,,"
Here are the SMB shares available on the remote host :

  - Public
  - IHGR-BACKUP1
  - ITADMIN
  - IHGR-BACKUP2
  - IPC$
",,,,,None,,,,5/9/2000,3/9/2020,,,
10398,,,None,10.204.224.10,tcp,445,Microsoft Windows SMB LsaQueryInformationPolicy Function NULL Session Domain SID Enumeration,It was possible to obtain the domain SID.,"By emulating the call to LsaQueryInformationPolicy(), it was possible
to obtain the domain SID (Security Identifier).

The domain SID can then be used to get the list of users of the
domain.",n/a,,The remote domain SID value is :\n1-5-21-3625786468-3524678557-1222525344,,,,,None,,,,5/9/2000,2/10/2021,,,
10399,,,None,10.204.224.10,tcp,445,SMB Use Domain SID to Enumerate Users,Nessus was able to enumerate domain users.,"Using the domain security identifier (SID), Nessus was able to
enumerate the domain users on the remote Windows system.",n/a,,"
  - Administrator (id 500, Administrator account)
  - krbtgt (id 502, Kerberos account)
  - Guest (id 501, Guest account)
  - DCE01936A$ (id 1001)
  - 01936nr (id 1109)
  - robeeke (id 1112)
  - ronasti (id 1113)
  - briaefa (id 1114)
  - vedem (id 1115)
  - marieke (id 1116)
  - idoreko (id 1117)
  - celeekw (id 1118)
  - emmaiba (id 1120)
  - vjonah (id 1121)
  - nkoyekp (id 1123)
  - nkecaja (id 1125)
  - merceko (id 1126)
  - idorfra (id 1129)
  - emarcel (id 1132)
  - ubonnke (id 1133)
  - johnome (id 1134)
  - ememtim (id 1135)
  - mudom (id 1136)
  - awakgeo (id 1138)
  - ericekp (id 1139)
  - idonekw (id 1141)
  - olaiaze (id 1142)
  - cokon (id 1143)
  - satuakp (id 1145)
  - emmaoch (id 1146)
  - golfibo (id 1151)
  - infoibo (id 1153)
  - housibo (id 1154)
  - timeibo (id 1155)
  - gsc (id 1156)
  - concibo (id 1157)
  - 01936er (id 1159)
  - MC01936A$ (id 1177)
  - PAY01936A$ (id 1181)
  - DT01936SM$ (id 1182)
  - LT01936EN1$ (id 1183)
  - DT01936AC8$ (id 1185)
  - DT01936SM3$ (id 1186)
  - DT01936AC1$ (id 1187)
  - DT01936AC3$ (id 1188)
  - LT01936GOL$ (id 1189)
  - DT01936GC$ (id 1190)
  - DT01936AC$ (id 1191)
  - DT01936AC6$ (id 1192)
  - DT01936FO$ (id 1193)
  - DT01936FO3$ (id 1194)
  - LT01936FO1$ (id 1195)
  - DT01936AC5$ (id 1197)
  - DT01936AC7$ (id 1198)
  - DT01936AC4$ (id 1199)
  - DT01936EN1$ (id 1200)

Note that, in addition to the Administrator, Guest, and Kerberos
accounts, Nessus has enumerated domain users with IDs between
1000 and 1200. To use a different range, edit the scan policy
and change the 'Enumerate Domain Users: Start UID' and/or 'End UID'
preferences under 'Assessment->Windows' and re-run the scan.  Only
UIDs between 1 and 2147483647 are allowed for this range.
",,,,,None,,,,5/9/2000,1/7/2020,,,
10719,,,None,10.204.224.10,tcp,3306,MySQL Server Detection,A database server is listening on the remote port.,"The remote host is running MySQL, an open source database server.",n/a,,"
The remote database access is restricted and configured to reject access
from unauthorized IPs.  Therefore it was not possible to extract its
version number.",,,,,None,,IAVT:0001-T-0802,,8/13/2001,5/10/2021,,,
10785,,,None,10.204.224.10,tcp,445,Microsoft Windows SMB NativeLanManager Remote System Information Disclosure,"It was possible to obtain information about the remote operating
system.","Nessus was able to obtain the remote operating system name and version
(Windows and/or Samba) by sending an authentication request to port
139 or 445. Note that this plugin requires SMB1 to be enabled on the
host.",n/a,,"The remote Operating System is : Windows 6.1
The remote native LAN manager is : Samba 4.3.11
The remote SMB Domain Name is : IBOMGOLFRESORT
",,,,,None,,,,10/17/2001,1/22/2020,,,
10859,,,None,10.204.224.10,tcp,445,Microsoft Windows SMB LsaQueryInformationPolicy Function SID Enumeration,It is possible to obtain the host SID for the remote host.,"By emulating the call to LsaQueryInformationPolicy(), it was possible
to obtain the host SID (Security Identifier).

The host SID can then be used to get the list of local users.","You can prevent anonymous lookups of the host SID by setting the
'RestrictAnonymous' registry setting to an appropriate value.

Refer to the 'See also' section for guidance.",http://technet.microsoft.com/en-us/library/bb418944.aspx,"
The remote host SID value is :

1-5-21-335305360-2712952666-146162348

The value of 'RestrictAnonymous' setting is : unknown
",,,,,None,,,,2/13/2002,10/4/2019,,,
10860,,,None,10.204.224.10,tcp,445,SMB Use Host SID to Enumerate Local Users,Nessus was able to enumerate local users.,"Using the host security identifier (SID), Nessus was able to enumerate
local users on the remote Windows system.",n/a,,"
  - nobody (id 501, Guest account)
  - nobody (id 1000)

Note that, in addition to the Administrator, Guest, and Kerberos
accounts, Nessus has enumerated local users with IDs between
1000 and 1200. To use a different range, edit the scan policy
and change the 'Enumerate Local Users: Start UID' and/or 'End UID'
preferences under 'Assessment->Windows' and re-run the scan. Only
UIDs between 1 and 2147483647 are allowed for this range.
",,,,,None,,,,2/13/2002,7/8/2019,,,
