Name,Category
apache tomcat 9.0.0 < 9.0.35 remote code execution,vulnerable version of application in use
apache 2.2.x < 2.2.27 multiple vulnerabilities,vulnerable version of application in use
ibm websphere java object deserialization rce,vulnerable version of application in use
php < 5.3.11 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 8.5.16 < 8.5.24 insecure cgi servlet search algorithm description weakness,vulnerable version of application in use
tenable nessus 6.8.x < 6.10.2 arbitrary file upload (tns-2017-06),vulnerable version of application in use
tenable nessus < 7.1.0 multiple vulnerabilities (tns-2018-05),vulnerable version of application in use
apache tomcat 9.0.0.m1 < 9.0.43 multiple vulnerabilities,vulnerable version of application in use
tenable nessus 8.9.0 < 8.13.2 multiple vulnerabilities (tns-2021-05),vulnerable version of application in use
tenable nessus < 8.5.0 multiple vulnerabilities (tns-2019-04),vulnerable version of application in use
apache tomcat 9.x < 9.0.40 information disclosure,vulnerable version of application in use
tenable nessus < 8.11.0 stored xss (tns-2020-05),vulnerable version of application in use
hp system management homepage < 7.2.4.1 / 7.3.3.1 openssl multiple vulnerabilities,vulnerable version of application in use
apache tomcat 9.0.0.m1 < 9.0.37 multiple vulnerabilities,vulnerable version of application in use
ilo 4 < 2.70 / ilo 5 < 1.40a multiple vulnerabilities,vulnerable version of application in use
hp system management homepage openssl multiple vulnerabilities (heartbleed),vulnerable version of application in use
apache 2.4.x < 2.4.28 http vulnerability (optionsbleed),vulnerable version of application in use
ilo 4 < 2.53 remote code execution vulnerability,vulnerable version of application in use
ilo 3 < 1.88 / ilo 4 < 2.44 xss vulnerability,vulnerable version of application in use
portable sdk for upnp devices (libupnp) < 1.6.18 multiple stack-based buffer overflows rce,vulnerable version of application in use
hp system management homepage multiple vulnerabilities (hpsbmu03593),vulnerable version of application in use
hp ilo 3 < 1.93 / hp ilo 4 < 2.75 / hp ilo superdome 4 < 1.64 / hp ilo 5 < 2.18 / hp moonshot/edgeline ilo 5 < 2.30 ripple20 multiple vulnerabilities,vulnerable version of application in use
solarwinds dameware mini remote control client public key buffer over-read,vulnerable version of application in use
php < 5.2.5 multiple vulnerabilities,vulnerable version of application in use
php < 5.2.8 multiple vulnerabilities,vulnerable version of application in use
php < 5.2.9 multiple vulnerabilities,vulnerable version of application in use
php 5.x < 5.2 multiple vulnerabilities,vulnerable version of application in use
php < 5.2.6 multiple vulnerabilities,vulnerable version of application in use
php < 5.2.10 multiple vulnerabilities,vulnerable version of application in use
php < 5.2.3 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 8.5.x < 8.5.34 open redirect weakness,vulnerable version of application in use
apache tomcat 8.5.x < 8.5.16 multiple vulnerabilities,vulnerable version of application in use
php unsupported version detection,vulnerable version of application in use
apache tomcat 8.5.0 < 8.5.63 multiple vulnerabilities,vulnerable version of application in use
apache 2.4.x < 2.4.35 dos,vulnerable version of application in use
php < 5.2.11 multiple vulnerabilities,vulnerable version of application in use
ilo 3 < 1.90 / ilo 4 < 2.61 / ilo 5 < 1.35 remote code execution vulnerability (hpesbhf03866),vulnerable version of application in use
php < 5.3.12 / 5.4.2 cgi query string code execution,vulnerable version of application in use
hp ilo 4 <= 2.52 rce,vulnerable version of application in use
php 5 < 5.2.7 multiple vulnerabilities,vulnerable version of application in use
netatalk opensession remote code execution,vulnerable version of application in use
apache tomcat 7.0.0 < 7.0.85 security constraint weakness,vulnerable version of application in use
apache 2.4.x < 2.4.47 multiple vulnerabilities,vulnerable version of application in use
php 5.x < 5.2.2 multiple vulnerabilities,vulnerable version of application in use
vmware esxi 5.5 / 6.0 / 6.5 / 6.7 dos (vmsa-2018-0018) (remote check),vulnerable version of application in use
php < 5.2.1 multiple vulnerabilities,vulnerable version of application in use
apache 2.4.x < 2.4.46 multiple vulnerabilities,vulnerable version of application in use
apache 2.4.x < 2.4.41 multiple vulnerabilities,vulnerable version of application in use
php < 5.2.12 multiple vulnerabilities,vulnerable version of application in use
apache 2.4.x < 2.4.48 vulnerability,vulnerable version of application in use
apache 2.4.x < 2.4.39 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 8.5.0 < 8.5.49 privilege escalation,vulnerable version of application in use
php 7.2.x < 7.2.17 multiple vulnerabilities.,vulnerable version of application in use
apache tomcat 5.5.x < 5.5.32 html manager interface xss,vulnerable version of application in use
apache 2.4.x < 2.4.42 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 8.5.x < 8.5.58 / 9.0.x < 9.0.38 http/2 request mix-up,vulnerable version of application in use
php 7.3.x < 7.3.16 multiple vulnerabilities,vulnerable version of application in use
php < 7.3.24 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 8.5.x < 8.5.55 remote code execution,vulnerable version of application in use
apache tomcat 8.5.0 < 8.5.56 dos,vulnerable version of application in use
apache tomcat 8.5.0 < 8.5.57 multiple vulnerabilities,vulnerable version of application in use
php < 5.3.9 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 7.0.x < 7.0.82 / 8.5.x < 8.5.23 multiple vulnerabilities,vulnerable version of application in use
php < 5.3.2 / 5.2.13 multiple vulnerabilities,vulnerable version of application in use
php php_rshutdown_function security bypass,vulnerable version of application in use
apache tomcat 6.0.x < 6.0.48 / 7.0.x < 7.0.73 / 8.0.x < 8.0.39 / 8.5.x < 8.5.8 / 9.0.x < 9.0.0.m13 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 8.5.0 < 8.5.50 privilege escalation vulnerability,vulnerable version of application in use
php < 5.2.4 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 8.5.x < 8.5.60 information disclosure,vulnerable version of application in use
apache tomcat ajp connector request injection (ghostcat),vulnerable version of application in use
apache tomcat 7.0.x < 7.0.100 / 8.5.x < 8.5.51 / 9.0.x < 9.0.31 multiple vulnerabilities,vulnerable version of application in use
apache 2.2.x < 2.2.25 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 6.0.16 < 6.0.50 / 7.0.x < 7.0.75 / 8.0.x < 8.0.41 / 8.5.x < 8.5.9 / 9.0.x < 9.0.0.m15 nio http connector information disclosure,vulnerable version of application in use
codemeter runtime predictable encryption key,vulnerable version of application in use
apache tomcat 8.5.0 < 8.5.41 dos,vulnerable version of application in use
hp system management homepage < 6.0.0.96 / 6.0.0-95 multiple vulnerabilities,vulnerable version of application in use
hp system management homepage < 6.1.0.102 / 6.1.0-103 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 8.5.x < 8.5.13 / 9.0.x < 9.0.0.m19 multiple vulnerabilities,vulnerable version of application in use
microsoft sql server unsupported version detection (remote check),vulnerable version of application in use
oracle database unsupported version detection,vulnerable version of application in use
hp data protector multiple vulnerabilities (hpsbmu02895 ssrt101253),vulnerable version of application in use
hp system management homepage < 7.6 multiple vulnerabilities (hpsbmu03653) (httpoxy),vulnerable version of application in use
hp data protector 8.x arbitrary command execution (hpsbmu03072),vulnerable version of application in use
hp system management homepage < 3.0.1.73 multiple flaws,vulnerable version of application in use
hp data protector 8.x < 8.17 / 9.x < 9.09 multiple vulnerabilities (hpsbgn03732),vulnerable version of application in use
esxi 6.0 / 6.5 / 6.7 out-of-bounds read vulnerability (vmsa-2018-0026) (remote check),vulnerable version of application in use
hp system management homepage < 2.1.12 unspecified xss,vulnerable version of application in use
apache tomcat 8.5.x < 8.5.28 security constraint weakness,vulnerable version of application in use
hp system management homepage < 7.2.6 multiple vulnerabilities (freak),vulnerable version of application in use
ipmi v2.0 password hash disclosure,vulnerable version of application in use
apache tomcat 7.0.x < 7.0.60 multiple vulnerabilities (freak),vulnerable version of application in use
apache 2.4.x < 2.4.38 multiple vulnerabilities,vulnerable version of application in use
nonexistent page (404) physical path disclosure,vulnerable version of application in use
hp system management homepage ginkgosnmp.inc command injection,vulnerable version of application in use
hp system management homepage < 7.3 multiple vulnerabilities,vulnerable version of application in use
hp system management homepage 7.3.x / 7.4.x < 7.5.0 multiple vulnerabilities (freak),vulnerable version of application in use
hp data protector 7.0x < 7.03 build 108 / 8.1x < 8.15 / 9.0x < 9.06 multiple vulnerabilities (hpsbgn03580) (bar mitzvah),vulnerable version of application in use
microsoft windows smbv1 multiple vulnerabilities,vulnerable version of application in use
hp system management homepage < 7.6.1 multiple vulnerabilities (hpsbmu03753),vulnerable version of application in use
hp system management homepage < 7.4 multiple vulnerabilities,vulnerable version of application in use
hp system management homepage < 6.3 multiple vulnerabilities,vulnerable version of application in use
hp system management homepage < 7.2.1.0 multiple vulnerabilities (beast),vulnerable version of application in use
hp system management homepage < 7.0 multiple vulnerabilities,vulnerable version of application in use
unsupported web server detection,vulnerable version of application in use
apache tomcat 5.5.x < 5.5.36 digest authentication multiple security weaknesses,vulnerable version of application in use
hp system management homepage < 7.2.5 / 7.4.1 multiple vulnerabilities (poodle),vulnerable version of application in use
apache tomcat 5.x < 5.5.35 hash collision denial of service,vulnerable version of application in use
apache tomcat 5.x < 5.5.21 multiple vulnerabilities,vulnerable version of application in use
hp system management homepage < 7.5.4 multiple vulnerabilities (logjam),vulnerable version of application in use
apache tomcat < 4.1.40 / 5.5.28 / 6.0.20 multiple vulnerabilities,vulnerable version of application in use
apache tomcat cross-application file manipulation,vulnerable version of application in use
multiple server crafted request web-inf directory information disclosure,vulnerable version of application in use
ilo 5 < 1.40 cross site scripting (xss) vulnerability,vulnerable version of application in use
apache tomcat requestdispatcher directory traversal arbitrary file access,vulnerable version of application in use
"jboss org.jboss.web.webserver class multiple vulnerabilities (source disc, id)",vulnerable version of application in use
vmware esx / esxi unsupported version detection,vulnerable version of application in use
apache tomcat < 5.5.26 multiple vulnerabilities,vulnerable version of application in use
apache 2.4.x < 2.4.34 multiple vulnerabilities,vulnerable version of application in use
jboss enterprise application platform (eap) status servlet request remote information disclosure,vulnerable version of application in use
nginx < 1.17.7 information disclosure,vulnerable version of application in use
codemeter runtime buffer over-read (wibu-210423-01),vulnerable version of application in use
jquery 1.2 < 3.5.0 multiple xss,vulnerable version of application in use
apache tomcat war deployment multiple vulnerabilities,vulnerable version of application in use
ilo 3 < 1.85 / ilo 4 < 2.22 denial of service vulnerability,vulnerable version of application in use
hp system management homepage < 6.2 multiple vulnerabilities,vulnerable version of application in use
hp system management homepage < 7.1.1 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 6.0.x < 6.0.43 multiple vulnerabilities (poodle),vulnerable version of application in use
apache tomcat 8.5.0 < 8.5.32 multiple vulnerabilities,vulnerable version of application in use
apache tomcat 7.0.x < 7.0.78 / 8.0.x < 8.0.44 / 8.5.x < 8.5.15 / 9.0.x < 9.0.0.m21 remote error page manipulation,vulnerable version of application in use
apache tomcat 5.5.x < 5.5.34 multiple vulnerabilities,vulnerable version of application in use
esxi 5.5 / 6.0 / 6.5 / 6.7 speculative execution side channel vulnerability (foreshadow) (vmsa-2018-0020) (remote check),vulnerable version of application in use
